POST_C;PLANT_C;INDUS_TYPE;CAI;LPC;CGL_C;YEAR_MONTH;PROD_QT;CREATION_DT;UPDATE_DT;MATERIAL_C
KM2;VLD;MI;733156;R;R733156R013;201910;21;05/11/2020 11:15;;ML_C
KM;VIT;MC;396776;A;K396776A004;201909;764;05/11/2020 11:15;;ML_E
KM;CNO;MC;233188;A;K233188A022;201911;0;05/11/2020 11:15;;ML_C
KM;CNO;MC;200433;R;K200433R001;201910;85;05/11/2020 11:15;;ML_C
KM;VLD;MC;512033;A;K512033A011;201910;3155;05/11/2020 11:15;;ML_C
KM;NYH;MC;525495;F;K525495F009;201910;0;05/11/2020 11:15;;ML_A
KM;BBG;MC;364747;A;K364747A010;201910;5260;05/11/2020 11:15;;ML_D
KM;VLD;MC;907920;T;K907920T027;201910;2747;05/11/2020 11:15;;ML_C
KM;VLD;MC;920339;A;K920339A013;201910;841;05/11/2020 11:15;;ML_E
KM;UFR;MI;765789;A;R765789A008;201910;0;05/11/2020 11:15;;ML_E
KM;VIT;MC;819493;R;K819493R011;201910;0;05/11/2020 11:15;;ML_C
KM;VLD;MC;299295;B;K299295B014;201910;11;05/11/2020 11:15;;ML_C
KM;UFR;MC;285470;B;K285470B038;201910;0;05/11/2020 11:15;;ML_B
KM;UFR;MC;765789;A;K765789A010;201910;2108;05/11/2020 11:15;;ML_E
KM;VIT;MC;370933;A;K370933A027;201910;0;05/11/2020 11:15;;ML_D
KM;OLS;MC;370933;P;K370933P001;201910;25201;05/11/2020 11:15;;ML_D
KM;VIT;MC;351459;A;K351459A002;201910;721;05/11/2020 11:15;;ML_E
KM;BKR;MC;344357;A;K344357A012;201910;2621;05/11/2020 11:15;;ML_C
KM;BKR;MC;777386;T;K777386T036;201910;13448;05/11/2020 11:15;;ML_C
KM;VIT;;421991;A;K421991A005;201910;0;05/11/2020 11:15;;ML_C
KM2;OLS;;730782;F;R730782F001;201910;5;05/11/2020 11:15;;ML_D
KM2;VIT;;494976;A;K494976A033;201910;0;05/11/2020 11:15;;ML_D
KM2;VIT;;593097;A;K593097A004;201910;523;05/11/2020 11:15;;ML_D
KM;CNO;;693066;A;R693066A004;201910;41;05/11/2020 11:15;;ML_D
KM;CNO;;152292;T;K152292T015;201910;4147;05/11/2020 11:15;;ML_C
KM;VIT;MC;732422;S;K732422S007;201910;4878;05/11/2020 11:15;;ML_C
KM;CNO;MC;956602;A;K956602A010;201910;16164;05/11/2020 11:15;;ML_C
KM;CNO;MC;959629;B;K959629B002;201910;4392;05/11/2020 11:15;;ML_C
KM2;CNO;MC;680273;A;K680273A046;201910;5259;05/11/2020 11:15;;ML_D
KM;CNO;MC;17529;A;K017529A002;201910;2559;05/11/2020 11:15;;ML_E
KM;BKR;MC;7072;A;K007072A011;201911;5716;05/11/2020 11:15;;ML_C
KM2;BBG;MC;479146;A;K479146A005;201910;0;05/11/2020 11:15;;ML_D
KM;UFR;MI;206566;A;R206566A004;201910;149;05/11/2020 11:15;;ML_E
KM;VLD;MC;125768;S;K125768S014;201910;332;05/11/2020 11:15;;ML_C
KM;NYH;MC;206686;B;K206686B008;201910;1855;05/11/2020 11:15;;ML_A
KM2;OLS;MC;960920;B;K960920B003;201910;6999;05/11/2020 11:15;;ML_D
KM;NYH;MC;184228;C;K184228C006;201910;407;05/11/2020 11:15;;ML_B
KM;VLD;MC;907920;A;K907920A023;201910;12668;05/11/2020 11:15;;ML_C
KM;VLD;MI;702367;R;R702367R005;201910;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;959429;B;K959429B002;201910;0;05/11/2020 11:15;;ML_C
KM2;VIT;MC;862539;A;K862539A002;201910;0;05/11/2020 11:15;;ML_D
KM;VLD;MC;538815;S;K538815S009;201910;1993;05/11/2020 11:15;;ML_D
KM;VIT;MC;253000;C;K253000C004;201910;7045;05/11/2020 11:15;;ML_C
KM;CNO;MC;711041;G;K711041G006;201911;5615;05/11/2020 11:15;;ML_C
KM;VIT;MC;572820;T;K572820T003;201911;0;05/11/2020 11:15;;ML_D
KM;NYH;EL;833010;A;E429207GC01;201911;0;05/11/2020 11:15;;ML_E
KM;BBG;MC;489162;B;K489162B003;201911;0;05/11/2020 11:15;;ML_C
KM;NYH;MI;909665;A;R909665A003;201911;0;05/11/2020 11:15;;ML_E
KM;CHO;MI;768085;C;R768085C001;201911;2232;05/11/2020 11:15;;ML_D
KM;CNO;MC;1633;A;K001633A020;201911;0;05/11/2020 11:15;;ML_C
KM;TC2;MC;554864;A;K554864A010;201909;0;05/11/2020 11:15;;ML_E
KM;TC2;MC;392859;A;K392859A007;201909;0;05/11/2020 11:15;;ML_D
KM;TC2;;602501;P;R602501A006;201909;91;05/11/2020 11:15;;ML_E
KM;VLD;;733156;R;R733156R002;201909;18;05/11/2020 11:15;;ML_C
KM;TC2;;49220;A;K049220A007;201909;0;05/11/2020 11:15;;ML_E
KM;TC2;;819353;A;K819353A001;201909;0;05/11/2020 11:15;;ML_D
KM;NYH;;693417;A;K693417A013;201909;249;05/11/2020 11:15;;ML_A
KM;NYH;MC;111997;C;K111997C003;201910;7;05/11/2020 11:15;;ML_A
KM;NYH;MC;817126;A;K817126A009;201910;761;05/11/2020 11:15;;ML_E
KM;NYH;MI;867263;A;R867263A004;201910;0;05/11/2020 11:15;;ML_E
KM;VLD;MC;481619;T;K481619T022;201910;1819;05/11/2020 11:15;;ML_C
KM;VLD;MC;817315;A;K817315A016;201910;2827;05/11/2020 11:15;;ML_E
KM;VLD;MC;621196;R;K621196R001;201910;147;05/11/2020 11:15;;ML_C
KM2;VLD;MC;553792;A;K553792A012;201910;2585;05/11/2020 11:15;;ML_D
KM2;VIT;MC;189068;A;K189068A028;201910;0;05/11/2020 11:15;;ML_D
KM;OLS;MC;101938;P;K101938P002;201910;0;05/11/2020 11:15;;ML_D
KM;VIT;MC;122654;R;K122654R008;201910;86;05/11/2020 11:15;;ML_C
KM;TC2;MC;495886;A;K495886A003;201910;0;05/11/2020 11:15;;ML_E
KM;BKR;MI;870354;A;R870354A006;201910;8;05/11/2020 11:15;;ML_D
KM2;VLD;MC;667631;A;K667631A022;201910;205;05/11/2020 11:15;;ML_D
KM;NYH;MC;69977;A;K069977A007;201910;0;05/11/2020 11:15;;ML_E
KM;UFR;MI;297723;A;R297723A002;201910;29;05/11/2020 11:15;;ML_E
KM2;VIT;MC;862539;A;K862539A004;201911;1884;05/11/2020 11:15;;ML_D
KM;VIT;MC;351459;A;K351459A001;201910;0;05/11/2020 11:15;;ML_E
KM;VIT;MC;536042;A;K536042A002;201910;0;05/11/2020 11:15;;ML_E
KM2;BBG;;887806;A;K887806A007;201910;0;05/11/2020 11:15;;ML_D
KM;VIT;;767806;A;K767806A006;201910;0;05/11/2020 11:15;;ML_D
KM;OLS;;608209;M;K608209M001;201910;1525;05/11/2020 11:15;;ML_C
KM;VLD;;996785;S;K996785S013;201910;4690;05/11/2020 11:15;;ML_C
KM;OLS;;56477;L;K056477L001;201910;1568;05/11/2020 11:15;;ML_C
KM;CHO;;76404;B;K076404B002;201910;603;05/11/2020 11:15;;ML_D
KM;TC2;;973953;B;K973953B002;201910;0;05/11/2020 11:15;;ML_D
KM;NYH;MI;962257;A;R962257A002;201909;0;05/11/2020 11:15;;ML_E
KM;CNO;MI;773482;A;R773482A002;201909;0;05/11/2020 11:15;;ML_C
KM;BBG;MC;777386;A;K777386A069;201910;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;409522;S;K409522S006;201910;0;05/11/2020 11:15;;ML_C
KM;VLD;MC;903727;R;K903727R011;201909;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;839697;A;K839697A013;201909;1017;05/11/2020 11:15;;ML_D
KM;VIT;MC;39346;S;K039346S006;201909;6980;05/11/2020 11:15;;ML_C
KM;VLD;;907920;T;K907920T027;201910;184;05/11/2020 11:15;;ML_C
KM;BBG;MC;112293;A;K112293A007;201909;1891;05/11/2020 11:15;;ML_D
KM;VIT;MC;454586;A;K454586A001;201910;224;05/11/2020 11:15;;ML_E
KM;VIT;MC;839697;A;K839697A013;201910;854;05/11/2020 11:15;;ML_D
KM;CNO;MC;194560;A;K194560A026;201910;1793;05/11/2020 11:15;;ML_C
KM;BKR;MI;89180;A;R089180A003;201910;6;05/11/2020 11:15;;ML_E
KM;VIT;MC;396776;A;K396776A005;201909;9;05/11/2020 11:15;;ML_E
KM;CNO;MC;489162;A;K489162A020;201910;0;05/11/2020 11:15;;ML_C
KM;CNO;MC;452329;A;K452329A016;201910;5907;05/11/2020 11:15;;ML_C
KM2;BBG;MC;975294;A;K975294A003;201909;0;05/11/2020 11:15;;ML_D
KM;BBG;EL;516105;A;E429122A001;201910;0;05/11/2020 11:15;;ML_D
KM;BBG;MI;100706;A;R100706A006;201910;0;05/11/2020 11:15;;ML_C
KM;UFR;MI;868663;A;R868663A006;201910;36;05/11/2020 11:15;;ML_E
KM;CNO;MC;731510;A;K731510A017;201909;0;05/11/2020 11:15;;ML_D
KM;BBG;;216561;A;K216561A012;201910;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;432508;A;K432508A005;201909;4276;05/11/2020 11:15;;ML_E
KM2;CNO;EL;126306;A;E437883GA03;201910;58;05/11/2020 11:15;;ML_C
KM;VIT;MI;243948;A;R243948A006;201910;103;05/11/2020 11:15;;ML_D
KM2;VLD;MI;680273;E;R680273E011;201910;0;05/11/2020 11:15;;ML_D
KM;VIT;MC;89498;A;K089498A004;201909;444;05/11/2020 11:15;;ML_E
KM;BBG;;959629;T;K959629T005;201910;1711;05/11/2020 11:15;;ML_C
KM;CNO;;956602;A;K956602A011;201910;42;05/11/2020 11:15;;ML_C
KM;VLD;;659916;A;K659916A029;201910;213;05/11/2020 11:15;;ML_E
KM;CNO;;446848;A;K446848A019;201910;5343;05/11/2020 11:15;;ML_C
KM;BBG;MC;100706;B;K100706B003;201909;0;05/11/2020 11:15;;ML_C
KM;CHO;MI;162533;B;R162533B008;201909;182;05/11/2020 11:15;;ML_D
KM;VIT;;446325;A;K446325A014;201910;0;05/11/2020 11:15;;ML_D
KM2;VLD;MC;749401;A;K749401A024;201910;192;05/11/2020 11:15;;ML_D
KM;TC2;MC;973953;B;K973953B002;201910;0;05/11/2020 11:15;;ML_D
KM2;VIT;MC;593097;A;K593097A004;201910;846;05/11/2020 11:15;;ML_D
KM;VLD;MC;907920;A;K907920A020;201911;0;05/11/2020 11:15;;ML_C
KM;BBG;MC;100706;B;K100706B005;201911;1;05/11/2020 11:15;;ML_C
KM;VIT;MC;983091;A;K983091A011;201911;4130;05/11/2020 11:15;;ML_D
KM;NYH;MI;213127;A;R213127A004;201911;4;05/11/2020 11:15;;ML_E
KM;VIT;MC;365297;R;K365297R006;201911;0;05/11/2020 11:15;;ML_C
KM;BBG;MC;777386;A;K777386A084;201911;11285;05/11/2020 11:15;;ML_C
KM;VLD;MI;733156;R;R733156R009;201911;0;05/11/2020 11:15;;ML_C
KM;NYH;MC;756996;A;K756996A009;201911;0;05/11/2020 11:15;;ML_E
KM;BBG;MC;364747;S;K364747S001;201911;1892;05/11/2020 11:15;;ML_D
KM;VLD;MC;551105;A;K551105A002;201911;6494;05/11/2020 11:15;;ML_D
KM;VIT;MC;446325;A;K446325A011;201911;0;05/11/2020 11:15;;ML_D
KM;VIT;MC;186217;A;K186217A022;201911;20424;05/11/2020 11:15;;ML_D
KM;CNO;MC;370933;A;K370933A033;201911;2578;05/11/2020 11:15;;ML_D
KM2;CNO;EL;444057;A;E438204G002;201911;42;05/11/2020 11:15;;ML_C
KM;BKR;MI;217062;A;R217062A001;201911;1;05/11/2020 11:15;;ML_D
KM;UFR;MC;765789;A;K765789A010;201911;0;05/11/2020 11:15;;ML_E
KM;BKR;EL;882056;A;E429354H002;201911;71;05/11/2020 11:15;;ML_A
KM;OLS;MC;468760;L;K468760L001;201911;3875;05/11/2020 11:15;;ML_C
KM2;VIT;MC;265115;A;K265115A004;201911;3014;05/11/2020 11:15;;ML_D
KM;CNO;MC;446848;A;K446848A021;201911;3025;05/11/2020 11:15;;ML_C
KM;VIT;;317320;A;K317320A006;201910;0;05/11/2020 11:15;;ML_D
KM;BBG;;238221;S;K238221S004;201910;3531;05/11/2020 11:15;;ML_C
KM;CNO;;711041;T;K711041T007;201910;0;05/11/2020 11:15;;ML_C
KM;VLD;;299295;B;K299295B012;201910;0;05/11/2020 11:15;;ML_C
KM2;BBG;;242899;A;K242899A005;201910;0;05/11/2020 11:15;;ML_D
KM;NYH;;386680;B;K386680B002;201910;1298;05/11/2020 11:15;;ML_D
KM;NYH;MC;229115;B;K229115B002;201910;0;05/11/2020 11:15;;ML_E
KM;VLD;MC;635100;A;K635100A022;201910;0;05/11/2020 11:15;;ML_E
KM;NYH;MC;698412;C;K698412C009;201910;233;05/11/2020 11:15;;ML_A
KM;NYH;MI;213127;A;R213127A003;201909;0;05/11/2020 11:15;;ML_E
KM;CNO;MC;694822;A;K694822A041;201909;0;05/11/2020 11:15;;ML_D
KM;BBG;MC;777386;A;K777386A079;201909;3385;05/11/2020 11:15;;ML_C
KM;VIT;MC;396776;A;K396776A001;201909;1396;05/11/2020 11:15;;ML_E
KM;CNO;MC;455435;A;K455435A056;201909;2681;05/11/2020 11:15;;ML_D
KM;NYH;MC;158907;A;K158907A018;201909;532;05/11/2020 11:15;;ML_E
KM;VIT;MC;233188;A;K233188A018;201909;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;609166;A;K609166A004;201910;0;05/11/2020 11:15;;ML_E
KM;VIT;MC;446848;A;K446848A016;201909;0;05/11/2020 11:15;;ML_C
KM;VLD;MC;745413;A;K745413A025;201909;0;05/11/2020 11:15;;ML_D
KM;BBG;EL;777386;A;E437430AB01;201910;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;517323;A;K517323A003;201910;0;05/11/2020 11:15;;ML_E
KM;VIT;MC;317320;A;K317320A007;201910;0;05/11/2020 11:15;;ML_D
KM;CNO;MC;216561;A;K216561A013;201909;3548;05/11/2020 11:15;;ML_C
KM;VLD;MC;34424;C;K034424C024;201910;3715;05/11/2020 11:15;;ML_B
KM;CHO;MC;768085;C;K768085C003;201910;0;05/11/2020 11:15;;ML_D
KM;VLD;MC;215021;S;K215021S012;201910;925;05/11/2020 11:15;;ML_C
KM;CNO;MC;711041;G;K711041G001;201909;0;05/11/2020 11:15;;ML_C
KM;NYH;MC;902596;A;K902596A001;201909;2382;05/11/2020 11:15;;ML_E
KM2;CNO;MC;402798;A;K402798A011;201910;2566;05/11/2020 11:15;;ML_D
KM2;CNO;EL;444057;A;E438204G001;201910;21;05/11/2020 11:15;;ML_C
KM;NYH;MI;350234;A;R350234A004;201910;82;05/11/2020 11:15;;ML_E
KM;CNO;MC;489162;A;K489162A020;201909;0;05/11/2020 11:15;;ML_C
KM;CHO;MC;99724;C;K099724C004;201910;200;05/11/2020 11:15;;ML_D
KM2;VIT;MC;862539;A;K862539A004;201910;6194;05/11/2020 11:15;;ML_D
KM;CNO;MC;101186;A;K101186A028;201910;938;05/11/2020 11:15;;ML_C
KM;VIT;;380566;A;K380566A080;201909;11964;05/11/2020 11:15;;ML_D
KM;OLS;;455435;P;K455435P001;201909;14668;05/11/2020 11:15;;ML_D
KM;BBG;;777386;A;K777386A061;201909;0;05/11/2020 11:15;;ML_C
KM;NYH;;386680;B;K386680B001;201909;682;05/11/2020 11:15;;ML_D
KM;VIT;;609367;A;K609367A002;201909;1270;05/11/2020 11:15;;ML_D
KM;NYH;;229115;B;K229115B003;201909;404;05/11/2020 11:15;;ML_E
KM;TC2;;973953;B;K973953B001;201909;0;05/11/2020 11:15;;ML_D
KM;NYH;;873758;A;K873758A001;201909;0;05/11/2020 11:15;;ML_E
KM2;VLD;;328785;A;K328785A008;201909;991;05/11/2020 11:15;;ML_D
KM;CNO;;894656;A;K894656A009;201909;730;05/11/2020 11:15;;ML_C
KM;VIT;EL;888402;A;E429312L002;201909;6;05/11/2020 11:15;;ML_C
KM2;CNO;EL;126306;A;E437883EA04;201910;44;05/11/2020 11:15;;ML_C
KM;OLS;MC;698302;L;K698302L001;201910;5;05/11/2020 11:15;;ML_C
KM;BBG;MC;216561;T;K216561T007;201910;0;05/11/2020 11:15;;ML_C
KM;BBG;MC;612286;R;K612286R011;201910;6219;05/11/2020 11:15;;ML_C
KM;VIT;MC;268118;A;K268118A011;201910;0;05/11/2020 11:15;;ML_D
KM;BBG;MC;112293;A;K112293A008;201910;7917;05/11/2020 11:15;;ML_D
KM;BBG;MC;364747;A;K364747A011;201911;8336;05/11/2020 11:15;;ML_D
KM2;BBG;MC;86442;A;K086442A024;201910;0;05/11/2020 11:15;;ML_D
KM;VLD;MC;72413;A;K072413A038;201910;3363;05/11/2020 11:15;;ML_D
KM;CNO;;4481;A;E428756B001;201910;7;05/11/2020 11:15;;ML_C
KM;NYH;;400882;A;K400882A009;201910;8;05/11/2020 11:15;;ML_D
KM;VIT;MC;89498;A;K089498A001;201910;0;05/11/2020 11:15;;ML_E
KM;NYH;EL;833010;A;E429207KA03;201909;58;05/11/2020 11:15;;ML_E
KM;NYH;;560546;A;K560546A018;201910;421;05/11/2020 11:15;;ML_B
KM;VLD;;455435;A;K455435A055;201910;0;05/11/2020 11:15;;ML_D
KM;VIT;;517323;A;K517323A002;201910;0;05/11/2020 11:15;;ML_E
KM;CNO;;4481;B;K004481B004;201910;1494;05/11/2020 11:15;;ML_C
KM2;VIT;;189068;A;K189068A030;201910;2074;05/11/2020 11:15;;ML_D
KM2;BBG;;305468;A;K305468A009;201910;1132;05/11/2020 11:15;;ML_D
KM;CNO;;894656;T;K894656T008;201910;1112;05/11/2020 11:15;;ML_C
KM;BKR;MC;777386;T;K777386T026;201910;0;05/11/2020 11:15;;ML_C
KM2;CNO;EL;126306;A;E437883GA01;201909;24;05/11/2020 11:15;;ML_C
KM;CNO;MC;154255;A;K154255A025;201910;9664;05/11/2020 11:15;;ML_D
KM;VIT;;439723;A;K439723A001;201910;1174;05/11/2020 11:15;;ML_D
KM;UFR;;463876;D;K463876D002;201910;0;05/11/2020 11:15;;ML_B
KM2;VIT;;862539;A;K862539A002;201910;0;05/11/2020 11:15;;ML_D
KM;VIT;;811688;A;K811688A003;201910;0;05/11/2020 11:15;;ML_E
KM2;CNO;MC;478603;A;K478603A008;201909;1360;05/11/2020 11:15;;ML_D
KM;VIT;MC;454586;A;K454586A001;201909;4760;05/11/2020 11:15;;ML_E
KM;CNO;MC;1633;A;K001633A021;201910;2815;05/11/2020 11:15;;ML_C
KM;BKR;MC;939928;T;K939928T012;201909;0;05/11/2020 11:15;;ML_C
KM;NYH;MC;158907;A;K158907A018;201910;212;05/11/2020 11:15;;ML_E
KM;BKR;MC;151206;C;K151206C046;201910;325;05/11/2020 11:15;;ML_B
KM;NYH;MC;221310;A;K221310A002;201909;594;05/11/2020 11:15;;ML_E
KM;BKR;EL;882056;A;E429354H001;201910;19;05/11/2020 11:15;;ML_A
KM;VIT;;959429;A;K959429A005;201910;0;05/11/2020 11:15;;ML_C
KM2;CNO;MC;151177;A;K151177A002;201909;505;05/11/2020 11:15;;ML_D
KM2;BBG;MC;404449;A;K404449A007;201909;1177;05/11/2020 11:15;;ML_D
KM;BBG;MC;777386;A;K777386A081;201910;4866;05/11/2020 11:15;;ML_C
KM;BBG;MC;642813;A;K642813A001;201910;1159;05/11/2020 11:15;;ML_D
KM2;VIT;MC;862539;A;K862539A004;201909;5192;05/11/2020 11:15;;ML_D
KM;VIT;MC;509680;A;K509680A004;201909;14396;05/11/2020 11:15;;ML_E
KM;VLD;;920339;A;K920339A013;201910;386;05/11/2020 11:15;;ML_E
KM;OLS;MC;512212;P;K512212P004;201910;7;05/11/2020 11:15;;ML_D
KM;CNO;MI;777386;A;R777386A009;201910;18;05/11/2020 11:15;;ML_C
KM;CNO;MI;777386;A;R777386A010;201910;0;05/11/2020 11:15;;ML_C
KM2;VIT;MC;265115;A;K265115A004;201910;4462;05/11/2020 11:15;;ML_D
KM;CNO;MC;455435;A;K455435A062;201910;20187;05/11/2020 11:15;;ML_D
KM;VIT;MC;455435;A;K455435A057;201909;0;05/11/2020 11:15;;ML_D
KM2;BBG;MC;305468;A;K305468A008;201909;2084;05/11/2020 11:15;;ML_D
KM;BBG;MC;777386;A;K777386A070;201910;119;05/11/2020 11:15;;ML_C
KM;VIT;MC;233188;A;K233188A018;201910;0;05/11/2020 11:15;;ML_C
KM;CNO;;452329;A;K452329A015;201909;0;05/11/2020 11:15;;ML_C
KM;VIT;;317320;A;R317320A002;201909;148;05/11/2020 11:15;;ML_D
KM;CNO;;152292;A;K152292A012;201909;0;05/11/2020 11:15;;ML_C
KM;BBG;;122657;R;K122657R004;201909;0;05/11/2020 11:15;;ML_C
KM;BBG;;380566;A;K380566A067;201909;0;05/11/2020 11:15;;ML_D
KM;OLS;;997724;S;E437300A002;201909;0;05/11/2020 11:15;;ML_C
KM;BBG;;380566;A;K380566A052;201909;0;05/11/2020 11:15;;ML_D
KM;BBG;;612286;R;K612286R008;201909;0;05/11/2020 11:15;;ML_C
KM;VLD;;125768;S;K125768S008;201909;73;05/11/2020 11:15;;ML_C
KM;VLD;;745413;A;K745413A030;201909;2735;05/11/2020 11:15;;ML_D
KM;BBG;;216561;T;K216561T006;201909;0;05/11/2020 11:15;;ML_C
KM;NYH;;895542;A;E435970E002;201909;60;05/11/2020 11:15;;ML_E
KM;OLS;;982358;L;R982358L003;201909;0;05/11/2020 11:15;;ML_C
KM2;VLD;;553792;A;K553792A008;201909;0;05/11/2020 11:15;;ML_D
KM2;VLD;;604535;A;K604535A006;201909;80;05/11/2020 11:15;;ML_D
KM;BBG;MC;971427;A;K971427A011;201909;0;05/11/2020 11:15;;ML_C
KM;VLD;;907920;A;K907920A020;201909;0;05/11/2020 11:15;;ML_C
KM;BBG;;100706;A;K100706A011;201909;0;05/11/2020 11:15;;ML_C
KM;UFR;;868663;A;R868663A004;201909;10;05/11/2020 11:15;;ML_E
KM2;OLS;;120353;B;K120353B019;201909;0;05/11/2020 11:15;;ML_D
KM2;VLD;;680273;E;R680273E011;201909;107;05/11/2020 11:15;;ML_D
KM;UFR;;765789;A;K765789A010;201909;797;05/11/2020 11:15;;ML_E
KM;NYH;;509100;A;E435971E001;201909;50;05/11/2020 11:15;;ML_E
KM;TC2;;737532;A;K737532A007;201909;0;05/11/2020 11:15;;ML_D
KM;VLD;;659916;A;K659916A023;201909;0;05/11/2020 11:15;;ML_E
KM;VLD;;125768;A;K125768A002;201910;0;05/11/2020 11:15;;ML_C
KM;BKR;MC;9341;A;K009341A003;201911;685;05/11/2020 11:15;;ML_A
KM;TC2;MC;662870;A;K662870A008;201910;0;05/11/2020 11:15;;ML_D
KM;NYH;MC;902596;A;K902596A002;201910;42;05/11/2020 11:15;;ML_E
KM2;CNO;MC;423163;A;K423163A003;201910;1160;05/11/2020 11:15;;ML_D
KM;CNO;MC;278806;R;K278806R002;201910;0;05/11/2020 11:15;;ML_C
KM;CHO;MC;423851;B;K423851B002;201910;329;05/11/2020 11:15;;ML_D
KM;VLD;MC;864757;C;K864757C012;201910;1438;05/11/2020 11:15;;ML_D
KM;BBG;MC;516105;A;K516105A008;201911;4847;05/11/2020 11:15;;ML_D
KM;BKR;MC;534193;A;K534193A004;201910;1842;05/11/2020 11:15;;ML_C
KM2;BBG;MC;366911;A;K366911A017;201910;1491;05/11/2020 11:15;;ML_D
KM;VIT;MC;951727;A;K951727A003;201910;0;05/11/2020 11:15;;ML_E
KM;CNO;MC;786593;A;K786593A031;201911;7942;05/11/2020 11:15;;ML_D
KM;NYH;MC;686164;A;K686164A006;201910;742;05/11/2020 11:15;;ML_E
KM;VLD;MC;455435;A;K455435A059;201910;0;05/11/2020 11:15;;ML_D
KM;CNO;MC;154255;A;K154255A025;201911;10783;05/11/2020 11:15;;ML_D
KM;UFR;MI;868663;A;R868663A004;201910;0;05/11/2020 11:15;;ML_E
KM;TC2;MC;554864;A;K554864A012;201910;2036;05/11/2020 11:15;;ML_E
KM;VLD;MC;31029;A;K031029A022;201910;1483;05/11/2020 11:15;;ML_E
KM;VLD;MC;578562;S;K578562S014;201910;234;05/11/2020 11:15;;ML_C
KM;VLD;MC;350133;A;K350133A020;201910;7772;05/11/2020 11:15;;ML_E
KM;CNO;MC;694822;A;K694822A044;201910;1753;05/11/2020 11:15;;ML_D
KM2;OLS;MC;120353;B;K120353B016;201910;8116;05/11/2020 11:15;;ML_D
KM;VLD;MC;255933;F;K255933F043;201910;1614;05/11/2020 11:15;;ML_B
KM;BKR;MC;885301;R;K885301R007;201910;8127;05/11/2020 11:15;;ML_C
KM;BBG;MI;777386;A;R777386A006;201910;0;05/11/2020 11:15;;ML_C
KM;CHO;MC;42087;A;K042087A018;201910;522;05/11/2020 11:15;;ML_D
KM;OLS;MC;88478;L;K088478L001;201911;4069;05/11/2020 11:15;;ML_C
KM;CNO;MC;455435;A;K455435A056;201911;8183;05/11/2020 11:15;;ML_D
KM;VLD;MI;846690;R;R846690R003;201911;13;05/11/2020 11:15;;ML_C
KM;CNO;EL;126306;A;E437882AA02;201910;34;05/11/2020 11:15;;ML_C
KM;VLD;MC;255933;F;K255933F042;201909;3710;05/11/2020 11:15;;ML_B
KM2;VLD;MI;733156;R;R733156R014;201910;27;05/11/2020 11:15;;ML_C
KM;VIT;MC;517323;A;K517323A007;201909;2906;05/11/2020 11:15;;ML_E
KM;TC2;;631659;P;R631659A008;201910;0;05/11/2020 11:15;;ML_E
KM;VLD;;297997;R;K297997R001;201910;12;05/11/2020 11:15;;ML_C
KM;CNO;;101186;T;K101186T009;201910;1527;05/11/2020 11:15;;ML_C
KM2;VIT;;301894;A;K301894A001;201910;0;05/11/2020 11:15;;ML_D
KM;CNO;;607988;A;K607988A012;201910;165;05/11/2020 11:15;;ML_C
KM;BKR;;195344;A;K195344A012;201910;3326;05/11/2020 11:15;;ML_C
KM;VIT;MC;129634;S;K129634S001;201910;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;253000;A;K253000A001;201910;0;05/11/2020 11:15;;ML_C
KM;CNO;MC;475948;A;K475948A016;201909;7832;05/11/2020 11:15;;ML_C
KM;CNO;MC;475948;A;K475948A016;201910;7676;05/11/2020 11:15;;ML_C
KM;CNO;MC;475948;T;K475948T012;201910;0;05/11/2020 11:15;;ML_C
KM;VIT;MC;536042;A;K536042A005;201910;3259;05/11/2020 11:15;;ML_E
KM;NYH;MC;151508;A;K151508A011;201910;10;05/11/2020 11:15;;ML_E
KM;VLD;MC;299295;B;K299295B016;201910;4682;05/11/2020 11:15;;ML_C
KM2;VLD;EL;680273;C;E428743S002;201910;46;05/11/2020 11:15;;ML_D
KM2;VLD;EL;680273;C;E428743T002;201910;38;05/11/2020 11:15;;ML_D
KM;BKR;MC;240680;C;K240680C004;201910;2393;05/11/2020 11:15;;ML_D
KM;UFR;MC;841313;A;K841313A012;201911;377;05/11/2020 11:15;;ML_E
KM2;OLS;MC;876149;B;K876149B003;201910;6909;05/11/2020 11:15;;ML_D
KM;BBG;MC;488916;R;K488916R005;201910;4647;05/11/2020 11:15;;ML_C
KM;CNO;MC;475948;T;K475948T012;201911;699;05/11/2020 11:15;;ML_C
KM;VLD;MC;61036;R;K061036R001;201910;147;05/11/2020 11:15;;ML_C
KM;CNO;;777386;A;K777386A076;201909;0;05/11/2020 11:15;;ML_C
KM;VLD;;745413;A;K745413A025;201909;0;05/11/2020 11:15;;ML_D
KM;NYH;;386680;A;K386680A033;201909;0;05/11/2020 11:15;;ML_D
KM;VLD;;481619;T;K481619T018;201909;0;05/11/2020 11:15;;ML_C
KM;TC2;MC;392859;A;K392859A008;201909;0;05/11/2020 11:15;;ML_D
KM;TC2;MC;49220;A;K049220A003;201909;0;05/11/2020 11:15;;ML_E
